run_accession,sample_accession,study_accession,sample_description,study_title,library_strategy,scientific_name,instrument_platform,instrument_model,collection_date_end,location,lat,lon,country,fastq_bytes,fastq_ftp
SRR17658278,SAMN25078531,PRJNA798446,"Mangrove sediments in the Qi’ao Mangrove Wetland Park of Guangdong province, China",Shotgun metagenome of microbial community in mangrove sediments in a depth range of 100 cm,WGS,sediment metagenome,ILLUMINA,Illumina NovaSeq 6000,2019-12-21,22.43 N 113.64 E,22.43,113.64,China:Pearl River Estuary,2361009892;2502791737,ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/078/SRR17658278/SRR17658278_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/078/SRR17658278/SRR17658278_2.fastq.gz
SRR17658281,SAMN25078528,PRJNA798446,"Mangrove sediments in the Qi’ao Mangrove Wetland Park of Guangdong province, China",Shotgun metagenome of microbial community in mangrove sediments in a depth range of 100 cm,WGS,sediment metagenome,ILLUMINA,Illumina NovaSeq 6000,2019-12-21,22.43 N 113.64 E,22.43,113.64,China:Pearl River Estuary,3467969961;3677306091,ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/081/SRR17658281/SRR17658281_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/081/SRR17658281/SRR17658281_2.fastq.gz
SRR17658286,SAMN25078523,PRJNA798446,"Mangrove sediments in the Qi’ao Mangrove Wetland Park of Guangdong province, China",Shotgun metagenome of microbial community in mangrove sediments in a depth range of 100 cm,WGS,sediment metagenome,ILLUMINA,Illumina NovaSeq 6000,2019-12-21,22.43 N 113.64 E,22.43,113.64,China:Pearl River Estuary,3194225664;3435012894,ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/086/SRR17658286/SRR17658286_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/086/SRR17658286/SRR17658286_2.fastq.gz
SRR17658298,SAMN25078512,PRJNA798446,"Mangrove sediments in the Qi’ao Mangrove Wetland Park of Guangdong province, China",Shotgun metagenome of microbial community in mangrove sediments in a depth range of 100 cm,WGS,sediment metagenome,ILLUMINA,Illumina NovaSeq 6000,2019-12-21,22.43 N 113.64 E,22.43,113.64,China:Pearl River Estuary,3230287333;3427049838,ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/098/SRR17658298/SRR17658298_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/098/SRR17658298/SRR17658298_2.fastq.gz
SRR17658299,SAMN25078503,PRJNA798446,"Mangrove sediments in the Qi’ao Mangrove Wetland Park of Guangdong province, China",Shotgun metagenome of microbial community in mangrove sediments in a depth range of 100 cm,WGS,sediment metagenome,ILLUMINA,Illumina NovaSeq 6000,2019-12-21,22.43 N 113.64 E,22.43,113.64,China:Pearl River Estuary,2462169161;2596288025,ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/099/SRR17658299/SRR17658299_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/099/SRR17658299/SRR17658299_2.fastq.gz
SRR4297032,SAMN05806435,PRJNA344556,Enrichment from Brazil mangrove soil,Enrichment from mangrove soil Raw sequence reads,WGS,aquatic metagenome,ILLUMINA,Illumina HiSeq 2500,2011-10-11,13.367918 S 39.056139 W,-13.367918,-39.056139,Brazil:Bahia,15765625751;16293179183,ftp.sra.ebi.ac.uk/vol1/fastq/SRR429/002/SRR4297032/SRR4297032_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR429/002/SRR4297032/SRR4297032_2.fastq.gz
SRR7543971,SAMN07673493,PRJNA407863,Metagenome from Yunxiao mangrove sediment,mangrove sediment sample Metagenome,WGS,mangrove metagenome,ILLUMINA,Illumina HiSeq 2500,2015-07-14,23.55 N 117.24 E,23.55,117.24,China: Yunxiao,8079414105;9390024772,ftp.sra.ebi.ac.uk/vol1/fastq/SRR754/001/SRR7543971/SRR7543971_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR754/001/SRR7543971/SRR7543971_2.fastq.gz
SRR11296458,SAMN14363799,PRJNA612127,Metagenome or environmental sample from mangrove metagenome,mangrove metagenome Raw sequence reads,WGS,mangrove metagenome,ILLUMINA,Illumina MiSeq,2018-04-01,6.8526 N 101.0048 E,6.8526,101.0048,Thailand,672915743,ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/058/SRR11296458/SRR11296458.fastq.gz
SRR14771937,SAMN17799257,PRJNA699587,Metagenome from mangrove soil harvested by shrimp farm,BTS Metagenome,WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2019-05-31,12.677 S 38.733 W,-12.677,-38.733,Brazil:Baia de Todos os Santos,1248801643;1246542655,ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/037/SRR14771937/SRR14771937_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/037/SRR14771937/SRR14771937_2.fastq.gz
SRR14772021,SAMN17799286,PRJNA699587,Metagenome from mangrove soil harvested by shrimp farm,BTS Metagenome,WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2019-05-31,12.677 S 38.733 W,-12.677,-38.733,Brazil:Baia de Todos os Santos,984785235;976819819,ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/021/SRR14772021/SRR14772021_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/021/SRR14772021/SRR14772021_2.fastq.gz
SRR14779626,SAMN17799295,PRJNA699587,Metagenome from mangrove soil harvested by shrimp farm,BTS Metagenome,WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2019-05-31,12.677 S 38.733 W,-12.677,-38.733,Brazil:Baia de Todos os Santos,924711278;917759484,ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/026/SRR14779626/SRR14779626_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/026/SRR14779626/SRR14779626_2.fastq.gz
SRR2912326,SAMN03332981,PRJNA73797,"Streptomyces xiamenensis sp. nov., isolated from mangrove sediment",Streptomyces xiamenensis strain:MCCC 1A01550 Genome sequencing,WGS,Streptomyces xiamenensis,PACBIO_SMRT,PacBio RS II,2005-10-31,23.55 N 117.25 E,23.55,117.25,China: Xiamen,1598516608,ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/006/SRR2912326/SRR2912326_subreads.fastq.gz
SRR2912668,SAMN03332981,PRJNA73797,"Streptomyces xiamenensis sp. nov., isolated from mangrove sediment",Streptomyces xiamenensis strain:MCCC 1A01550 Genome sequencing,WGS,Streptomyces xiamenensis,PACBIO_SMRT,PacBio RS II,2005-10-31,23.55 N 117.25 E,23.55,117.25,China: Xiamen,1566295369,ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/008/SRR2912668/SRR2912668_subreads.fastq.gz
SRR2912970,SAMN03332981,PRJNA73797,"Streptomyces xiamenensis sp. nov., isolated from mangrove sediment",Streptomyces xiamenensis strain:MCCC 1A01550 Genome sequencing,WGS,Streptomyces xiamenensis,PACBIO_SMRT,PacBio RS II,2005-10-31,23.55 N 117.25 E,23.55,117.25,China: Xiamen,1292509531,ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/000/SRR2912970/SRR2912970_subreads.fastq.gz
SRR2937419,SAMN03332981,PRJNA73797,"Streptomyces xiamenensis sp. nov., isolated from mangrove sediment",Streptomyces xiamenensis strain:MCCC 1A01550 Genome sequencing,WGS,Streptomyces xiamenensis,PACBIO_SMRT,PacBio RS II,2005-10-31,23.55 N 117.25 E,23.55,117.25,China: Xiamen,1365115504,ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/009/SRR2937419/SRR2937419_subreads.fastq.gz
SRR18713715,SAMN17674315,PRJNA697603,"Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe","Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe - Cand. Thiomargarita magnifica 2 metagenome",WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2018-10-24,16.2781 N 61.5582 W,16.2781,-61.5582,Guadeloupe: Basse-Terre,124911589;124986380,ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/015/SRR18713715/SRR18713715_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/015/SRR18713715/SRR18713715_2.fastq.gz
SRR18713716,SAMN17674662,PRJNA697609,"Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe","Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe - Cand. Thiomargarita magnifica 8 metagenome",WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2018-10-24,16.2781 N 61.5582 W,16.2781,-61.5582,Guadeloupe: Basse-Terre,144839300;145065777,ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/016/SRR18713716/SRR18713716_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/016/SRR18713716/SRR18713716_2.fastq.gz
SRR18713805,SAMN17675972,PRJNA697607,"Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe","Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe - Cand. Thiomargarita magnifica 6 metagenome",WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2018-10-24,16.2781 N 61.5582 W,16.2781,-61.5582,Guadeloupe: Basse-Terre,248264134;257557344,ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/005/SRR18713805/SRR18713805_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/005/SRR18713805/SRR18713805_2.fastq.gz
SRR18714292,SAMN17674652,PRJNA697618,"Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe","Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe - Cand. Thiomargarita magnifica 17 metagenome",WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2018-10-24,16.2781 N 61.5582 W,16.2781,-61.5582,Guadeloupe: Basse-Terre,103626411;100091203,ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/092/SRR18714292/SRR18714292_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/092/SRR18714292/SRR18714292_2.fastq.gz
SRR18714293,SAMN17674972,PRJNA697616,"Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe","Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe - Cand. Thiomargarita magnifica 15 metagenome",WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2018-10-24,16.2781 N 61.5582 W,16.2781,-61.5582,Guadeloupe: Basse-Terre,195944016;191917895,ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/093/SRR18714293/SRR18714293_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/093/SRR18714293/SRR18714293_2.fastq.gz
SRR18714294,SAMN17674335,PRJNA697614,"Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe","Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe - Cand. Thiomargarita magnifica 13 metagenome",WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2018-10-24,16.2781 N 61.5582 W,16.2781,-61.5582,Guadeloupe: Basse-Terre,324179370;328484446,ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/094/SRR18714294/SRR18714294_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/094/SRR18714294/SRR18714294_2.fastq.gz
SRR18714529,SAMN17674474,PRJNA697620,"Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe","Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe - Cand. Thiomargarita magnifica 19 metagenome",WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2018-10-24,16.2781 N 61.5582 W,16.2781,-61.5582,Guadeloupe: Basse-Terre,148302630;150997005,ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/029/SRR18714529/SRR18714529_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/029/SRR18714529/SRR18714529_2.fastq.gz
SRR18715604,SAMN17674667,PRJNA697626,"Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe","Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe - Cand. Thiomargarita magnifica 26 metagenome",WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2018-10-24,16.2781 N 61.5582 W,16.2781,-61.5582,Guadeloupe: Basse-Terre,99528311;98955638,ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/004/SRR18715604/SRR18715604_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/004/SRR18715604/SRR18715604_2.fastq.gz
SRR18715623,SAMN17675991,PRJNA697622,"Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe","Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe - Cand. Thiomargarita magnifica 21 metagenome",WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2018-10-24,16.2781 N 61.5582 W,16.2781,-61.5582,Guadeloupe: Basse-Terre,188873070;185868101,ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/023/SRR18715623/SRR18715623_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/023/SRR18715623/SRR18715623_2.fastq.gz
SRR18715702,SAMN17674965,PRJNA697628,"Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe","Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe - Cand. Thiomargarita magnifica 28 metagenome",WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2018-10-24,16.2781 N 61.5582 W,16.2781,-61.5582,Guadeloupe: Basse-Terre,283705384;346834109,ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/002/SRR18715702/SRR18715702_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/002/SRR18715702/SRR18715702_2.fastq.gz
SRR18715723,SAMN17674810,PRJNA697630,"Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe","Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe - Cand. Thiomargarita magnifica 30 metagenome",WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2018-10-24,16.2781 N 61.5582 W,16.2781,-61.5582,Guadeloupe: Basse-Terre,246147662;251386075,ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/023/SRR18715723/SRR18715723_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/023/SRR18715723/SRR18715723_2.fastq.gz
SRR18715972,SAMN17675297,PRJNA697631,"Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe","Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe - Cand. Thiomargarita magnifica 31 metagenome",WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2018-10-24,16.2781 N 61.5582 W,16.2781,-61.5582,Guadeloupe: Basse-Terre,76867410;74800442,ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/072/SRR18715972/SRR18715972_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/072/SRR18715972/SRR18715972_2.fastq.gz
SRR18715973,SAMN17675290,PRJNA697633,"Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe","Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe - Cand. Thiomargarita magnifica 33 metagenome",WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2018-10-24,16.2781 N 61.5582 W,16.2781,-61.5582,Guadeloupe: Basse-Terre,109825752;110883113,ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/073/SRR18715973/SRR18715973_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/073/SRR18715973/SRR18715973_2.fastq.gz
SRR18717068,SAMN17674473,PRJNA697711,"Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe","Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe - Cand. Thiomargarita magnifica 42 metagenome",WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2018-10-24,16.2781 N 61.5582 W,16.2781,-61.5582,Guadeloupe: Basse-Terre,20003142;26128446,ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/068/SRR18717068/SRR18717068_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/068/SRR18717068/SRR18717068_2.fastq.gz
SRR18717069,SAMN17674961,PRJNA697712,"Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe","Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe - Cand. Thiomargarita magnifica 43 metagenome",WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2018-10-24,16.2781 N 61.5582 W,16.2781,-61.5582,Guadeloupe: Basse-Terre,217184679;209023276,ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/069/SRR18717069/SRR18717069_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/069/SRR18717069/SRR18717069_2.fastq.gz
SRR18717203,SAMN17674651,PRJNA697713,"Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe","Enriched cells from mangrove seawater in Basse-Terre, Guadeloupe - Cand. Thiomargarita magnifica 44 metagenome",WGS,mangrove metagenome,ILLUMINA,NextSeq 500,2018-10-24,16.2781 N 61.5582 W,16.2781,-61.5582,Guadeloupe: Basse-Terre,153142782;147635716,ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/003/SRR18717203/SRR18717203_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR187/003/SRR18717203/SRR18717203_2.fastq.gz
